23,16
4,37
63,30
63,27
7,57
13,31
6,51
63,60
21,8
67,39
11,19
19,27
19,63
13,29
67,43
61,70
5,5
9,56
31,65
9,22
15,33
18,15
23,31
9,13
64,45
28,61
23,41
33,61
5,27
58,31
9,55
66,57
64,37
1,6
3,26
30,61
13,41
39,59
0,25
59,49
1,17
25,61
15,4
20,61
66,35
64,27
11,44
66,39
65,42
9,57
27,31
18,19
61,29
21,33
43,54
8,47
9,33
65,39
11,1
15,3
59,51
11,3
12,59
52,59
23,7
59,43
5,9
53,55
9,29
19,54
63,51
0,37
59,53
65,54
61,51
47,61
63,59
11,35
14,65
29,55
5,14
9,32
29,64
61,65
21,1
46,59
13,7
30,5
18,59
25,67
1,45
15,6
67,64
14,57
17,9
1,3
9,7
11,59
15,19
55,43
49,55
61,50
63,37
65,43
65,41
9,26
27,57
7,31
9,8
63,49
2,7
65,29
15,47
5,13
57,55
19,17
5,23
11,41
29,60
19,9
59,52
69,48
5,11
25,15
9,15
51,53
65,59
51,57
69,63
12,39
19,18
63,67
57,30
15,52
6,25
67,47
19,58
13,61
42,59
12,1
11,61
35,59
53,59
11,7
10,29
69,66
28,25
11,53
9,17
13,20
65,63
29,63
19,19
14,43
37,63
10,57
27,18
19,39
11,48
17,7
7,40
25,62
39,61
23,57
57,59
15,36
65,37
60,49
21,32
15,31
13,6
5,4
22,1
17,31
66,67
5,58
3,10
61,69
9,27
53,49
7,23
21,2
61,48
9,48
3,39
21,13
17,6
17,41
13,19
13,39
21,12
8,1
56,59
17,43
15,26
16,57
13,53
47,59
3,33
9,31
43,61
53,58
60,51
63,28
19,7
16,3
17,24
6,39
11,58
3,52
11,28
11,26
6,47
13,45
69,51
9,38
28,67
23,33
9,43
21,30
16,17
58,57
56,55
7,60
62,53
13,25
8,39
19,30
1,12
27,64
13,34
65,55
59,57
11,6
54,53
21,5
40,59
3,3
67,57
68,39
69,62
18,41
11,51
15,57
29,59
3,8
31,2
2,41
69,47
7,53
24,13
9,61
63,34
45,61
11,27
5,25
67,33
23,23
68,55
15,20
1,33
64,69
11,10
69,41
19,42
47,31
23,4
4,27
9,2
1,14
19,21
17,32
52,47
12,41
69,69
19,11
13,52
15,51
22,43
51,54
24,9
8,45
29,3
59,31
13,26
7,50
9,60
19,46
22,35
