219051609191782, 68260434807407, 317809635461867 @ 146, 364, -22
292151991892724, 394725036264709, 272229701860796 @ -43, -280, -32
455400538938496, 167482380286201, 389150487664328 @ -109, 219, -58
199597051713828, 198498491378597, 230104579246572 @ 134, 104, -62
367935067813454, 358033491577763, 300052079497308 @ -33, -17, 27
239730316398484, 322209632306829, 343431553310564 @ 86, -85, -154
246742202475134, 333490255115089, 398751268615964 @ 99, -36, -165
204424990569080, 172605788927383, 149785389522746 @ 138, 219, 266
172082527043795, 158439310305133, 234013400813615 @ 255, 282, -58
220370120403044, 232965679824757, 190566665876012 @ -28, -169, 95
202902849718670, 148168493267641, 185097468430810 @ 63, 432, 120
228725440025693, 410352643262604, 372847496982605 @ 81, -415, -340
177315462014505, 184539494450866, 171810222769166 @ 221, 183, 197
217730146223924, 200433850678309, 219376308127724 @ -15, 42, -101
222884825564324, 236000842140709, 93247678555244 @ 125, 97, 337
474330588840756, 416809758570341, 271898913958188 @ -89, -26, 87
192808626109540, 141118641261609, 211134338817756 @ 176, 305, 87
245270386786099, 328171506634409, 115159052188808 @ 47, -170, 335
409038200284664, 466696643291710, 287988524391713 @ -68, -131, 50
328247825963964, 166395466877909, 200610976836724 @ -25, 224, 144
201969651998112, 254435070279913, 260545233403648 @ 113, -207, -258
209204179042542, 215778610499274, 201082866718433 @ 46, -55, 26
239481888334576, 257817515121821, 322817431920858 @ -142, -314, -744
216183482414330, 301994962667704, 327831467521172 @ 94, -215, -325
355598752236428, 404889034247101, 361153064013396 @ 9, -39, -20
138659130909386, 191190734799997, 141890222429789 @ 266, 186, 234
214517469523460, 231940644760446, 248302055529530 @ 96, 13, -67
284009939483767, 259055618899510, 423675589177452 @ 91, 123, -77
310497312596250, 294380095807630, 385168341088949 @ 58, 81, -46
421801192147517, 260531912798637, 205851318917763 @ -51, 122, 150
336669166523075, 347495590953430, 316315998356930 @ -9, -21, -7
340439912405459, 372883800332263, 352816981486097 @ 7, -28, -32
429115058871389, 315983862655724, 409767826048320 @ -213, -25, -209
227273118970204, 204894196209555, 265590395373240 @ 92, 137, -39
331292757629236, 13848626059957, 3136299980372 @ 26, 396, 380
323908274752619, 165432882311924, 557690600482189 @ -39, 227, -462
202675243892821, 378669472736804, 105089766651483 @ 113, -815, 546
254598388171219, 220852153624941, 338719385078681 @ 37, 106, -190
308292381194126, 353444148493408, 426347165561174 @ 70, 31, -71
414546344895932, 330527216687125, 301181099435852 @ -81, 24, 31
355478805196684, 377661452559445, 187848446893732 @ 7, -12, 168
216642010987244, 302087251125709, 283539649828394 @ 148, 22, 22
319193450325977, 330302163151930, 63325884930926 @ 5, -9, 341
227538801631764, 235112062256969, 226599454748984 @ 20, -43, -28
287017281673994, 465984501605819, 415927989120424 @ 87, -95, -71
221323771423847, 171415493144578, 115512849253778 @ 83, 223, 377
363168669296819, 459685720025809, 12385358751374 @ 11, -82, 349
308347483559579, 281012014588729, 289198047383674 @ -15, 30, -11
191040226887972, 214734784706917, 104405689278508 @ 184, 132, 325
248224064743008, 232152300546065, 265650797723408 @ -130, -88, -283
363772094066054, 372687403247227, 324735015162050 @ -33, -41, -8
440530309388627, 243522939337762, 390123526365527 @ -177, 111, -130
223520799720018, 162201973451551, 123246489506604 @ -22, 288, 499
388229261965374, 549783024592539, 338905953460829 @ -194, -508, -130
254158445332404, 399140204786669, 125667959354244 @ 62, -223, 280
217479798368774, 264766770795754, 182581386796829 @ 6, -335, 150
336003321114872, 374155730636053, 309392919231632 @ 21, -18, 28
226531882877936, 228406259245267, 212248085681768 @ 6, -39, 17
198633116187660, 194014366550325, 182852368985216 @ 74, 22, 128
238253497910369, 195242727506977, 208953293786642 @ 57, 158, 97
362703720471034, 313897334603599, 454612179241664 @ 13, 69, -103
212856060349456, 147217692127260, 240424981589131 @ 76, 337, -102
421439152092196, 358649541894629, 384782704948156 @ -64, 10, -47
234787800044543, 142049604289050, 154930376384748 @ -75, 397, 307
264293456976181, 257873793071747, 222254255909900 @ 25, 32, 83
343244149367539, 351379756851969, 334059062374459 @ 25, 22, 12
78758476750169, 38379831620038, 152899553762162 @ 357, 419, 217
232725507034229, 275456674618321, 327756092406062 @ 117, 46, -67
410792039701824, 471917517946325, 359052987685552 @ -113, -194, -68
454705992417295, 147284326992898, 218883157476860 @ -121, 243, 131
272871125557508, 308929281113269, 309320277829804 @ -30, -135, -161
556834712804606, 281753148446413, 380107844662082 @ -170, 106, -19
332068341884671, 265783925602770, 507494207903349 @ 49, 121, -146
442521431186846, 276886963281421, 484026255390362 @ -181, 62, -268
276847042360670, 244037368756201, 369531213009170 @ 95, 136, -28
220426636106474, 264599827028149, 274720087988087 @ 102, -30, -82
476267749591484, 247819858585099, 351382314283412 @ -88, 140, 11
333964474277300, 353749131693801, 322738448458202 @ -24, -52, -34
311894060107772, 199873420167013, 238239859189576 @ -54, 162, 60
334939921727316, 362943873359549, 397690013142148 @ 46, 25, -38
369806306201540, 266267169075200, 376488357003385 @ -96, 67, -134
195496995592308, 56482644538105, 281410361153780 @ 164, 603, -163
262226252828288, 291478847398957, 214575302784620 @ 61, 8, 115
243647380042204, 120575554687175, 450790807779048 @ 92, 307, -303
228962781148463, 232906796728015, 297537056981076 @ 21, -24, -309
359657388282953, 348935963195849, 307903408541639 @ -27, -10, 14
198172901159909, 214818838713799, 204924988960979 @ 87, -160, -76
350088656858564, 339908308437799, 340460440033814 @ -176, -161, -188
158926510323449, 295983610149276, 273339044644811 @ 237, 17, 26
184481434534875, 214135380047312, 243753342808278 @ 209, -49, -263
306133706821504, 344342297121729, 335273164494924 @ 77, 47, 27
201555022563324, 205771370114829, 199271311206964 @ -65, -325, -200
332226785186987, 140025987292387, 307272296595755 @ -29, 264, -18
437162995883174, 194209654314709, 457590221815354 @ -129, 186, -180
461308043162995, 356227406368902, 199848473899940 @ -107, 13, 155
183967860228856, 146295575829553, 202322295850016 @ 223, 507, -70
282216418382110, 344215185710189, 309785584010957 @ 34, -70, -40
354246942903740, 382010932162903, 260179929435794 @ -72, -116, 49
148669281983284, 196424011881349, 212693243466124 @ 236, 186, 139
377382214186134, 260268348613119, 363333779208839 @ -82, 88, -88
231224074436529, 177368496493809, 343957779608939 @ 97, 206, -178
236196333787332, 239795946498965, 237380408989532 @ 26, -7, -22
306834389696888, 395322724781941, 384134122596416 @ 59, -34, -50
230041175759259, 300109974927474, 53787714874994 @ 115, -13, 401
402720949039436, 249141060446509, 267925058093996 @ -57, 125, 75
186621283273879, 245923145250479, 133525092436924 @ 193, 32, 291
504400554696100, 444201275592333, 391524778136000 @ -160, -88, -58
214057855119549, 282495351527994, 253311386569967 @ 77, -245, -142
189621374628116, 198110443933201, 138671336741240 @ 164, -33, 600
204060136942443, 163106015316680, 156942195259919 @ -65, 397, 494
455633080038074, 373957104860629, 472671738284204 @ -187, -70, -237
491702022330614, 482126793262627, 293902322678204 @ -123, -107, 59
180678072033232, 164831255800613, 181418221957545 @ 268, 338, 136
217098740481839, 226555148583949, 266254233712439 @ 93, 42, -112
372583213807586, 390562699671450, 443954055188154 @ -66, -89, -191
344276355389224, 175507140888229, 274309998304924 @ 29, 210, 79
285158642629049, 229326817824544, 301300462429529 @ 37, 125, -16
346580079882740, 447582855548125, 372171587996564 @ 36, -56, -11
231433617949379, 220516103222209, 208035174429779 @ -33, -18, 26
197246418939884, 162916937644069, 198212183312408 @ 62, 370, -80
394850717954546, 408326468898399, 299919976011379 @ -174, -200, -36
240947528229620, 242725051766533, 101234637554252 @ -84, -134, 571
333225667666322, 394195500297679, 334870861329710 @ -159, -315, -198
329948825471764, 405934811918029, 188518292496364 @ -22, -135, 163
272959640524660, 357873488929621, 222375296361264 @ 28, -138, 94
343259357068268, 288348930745753, 390012935132764 @ 30, 93, -41
373701949310610, 346244240547537, 270705269098130 @ -7, 28, 80
261328626598376, 339330766707640, 305062511519470 @ 60, -81, -47
204187703099524, 211673189560668, 173753721040738 @ 32, -127, 217
474725433876886, 453824615528465, 252106700687306 @ -145, -116, 92
