58|55
89|38
89|34
85|64
85|25
85|43
71|97
71|17
71|85
71|87
91|77
91|67
91|35
91|85
91|44
49|43
49|27
49|38
49|75
49|34
49|55
78|13
78|62
78|23
78|43
78|51
78|49
78|83
77|49
77|17
77|85
77|46
77|71
77|97
77|19
77|87
51|75
51|15
51|47
51|79
51|67
51|34
51|24
51|83
51|84
36|38
36|94
36|89
36|64
36|62
36|45
36|44
36|87
36|78
36|39
76|51
76|39
76|55
76|64
76|17
76|25
76|62
76|49
76|43
76|27
76|78
48|77
48|19
48|97
48|86
48|53
48|85
48|71
48|74
48|15
48|91
48|59
48|34
46|78
46|64
46|76
46|44
46|43
46|24
46|85
46|27
46|17
46|19
46|49
46|35
46|36
34|79
34|59
34|53
34|46
34|86
34|97
34|75
34|36
34|57
34|83
34|98
34|71
34|45
34|74
11|15
11|91
11|46
11|74
11|84
11|48
11|79
11|77
11|34
11|24
11|53
11|67
11|19
11|36
11|57
53|98
53|79
53|35
53|46
53|57
53|91
53|85
53|97
53|36
53|84
53|67
53|59
53|93
53|15
53|44
53|45
47|24
47|71
47|13
47|19
47|91
47|46
47|98
47|74
47|53
47|75
47|67
47|57
47|45
47|77
47|83
47|79
47|36
55|79
55|91
55|57
55|19
55|53
55|24
55|36
55|13
55|67
55|74
55|98
55|86
55|45
55|15
55|85
55|75
55|46
55|59
35|23
35|11
35|94
35|47
35|64
35|62
35|27
35|49
35|72
35|38
35|83
35|87
35|25
35|43
35|44
35|39
35|51
35|48
35|74
45|89
45|85
45|51
45|49
45|97
45|64
45|25
45|93
45|58
45|23
45|78
45|87
45|44
45|94
45|27
45|39
45|11
45|62
45|38
45|72
38|55
38|59
38|83
38|51
38|67
38|94
38|91
38|58
38|48
38|47
38|77
38|75
38|13
38|62
38|15
38|86
38|72
38|74
38|23
38|53
38|25
64|25
64|94
64|62
64|34
64|11
64|53
64|59
64|58
64|38
64|74
64|75
64|51
64|48
64|13
64|86
64|55
64|47
64|43
64|49
64|27
64|83
64|23
62|48
62|77
62|83
62|55
62|25
62|34
62|86
62|15
62|84
62|53
62|79
62|47
62|59
62|67
62|74
62|72
62|94
62|75
62|11
62|91
62|13
62|57
62|58
44|27
44|43
44|74
44|49
44|86
44|11
44|38
44|64
44|89
44|94
44|72
44|47
44|39
44|25
44|55
44|34
44|87
44|23
44|83
44|78
44|51
44|62
44|48
44|58
72|67
72|53
72|77
72|46
72|75
72|71
72|11
72|84
72|15
72|55
72|34
72|91
72|25
72|24
72|79
72|57
72|36
72|48
72|13
72|59
72|83
72|86
72|74
72|47
15|45
15|27
15|76
15|89
15|77
15|19
15|35
15|87
15|79
15|24
15|64
15|98
15|46
15|97
15|17
